# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = posterior_model_4.data.R
# init = 2 (Default)
# random
#   seed = 3284628033
# output
#   file = posterior_model_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.661164
# Diagonal elements of inverse mass matrix:
# 0.0903471, 0.0342436, 0.0982624, 0.146008, 1.49999, 0.279554
-172.497,1,0.661164,3,7,0,173.778,0.133358,0.446202,0.199723,0.0913631,0.00961867,0.0831998,0.0365361
-172.6,0.899744,0.661164,3,7,0,175.011,0.13211,0.438171,0.178766,0.0794683,0.00398111,0.0878684,0.0796349
-173.685,0.897558,0.661164,3,7,0,174.987,0.129624,0.450878,0.118034,0.143631,0.008069,0.0789952,0.0707692
-177.981,0.835562,0.661164,2,7,0,178.359,0.115983,0.421673,0.252201,0.0436775,0.00120633,0.124912,0.0403467
-176.362,1,0.661164,3,7,0,180.998,0.182334,0.415835,0.107228,0.117679,0.000729024,0.135844,0.0403511
-176.525,0.965202,0.661164,3,7,0,178.987,0.0850685,0.444247,0.207453,0.108263,0.00100711,0.0608704,0.0930915
-178.233,0.909908,0.661164,2,3,0,180.986,0.103686,0.384855,0.181675,0.153966,0.000231548,0.068198,0.10739
-173.396,1,0.661164,2,3,0,178.957,0.117715,0.479897,0.137164,0.0893036,0.00178558,0.126581,0.0475534
-173.997,0.944803,0.661164,2,7,0,176.085,0.11264,0.482153,0.138326,0.102777,0.000735543,0.0939107,0.0694577
-176.054,0.59735,0.661164,2,7,0,183.317,0.165288,0.435564,0.143407,0.0955392,0.000334001,0.132546,0.027323
-174.442,0.905999,0.661164,3,7,0,177.683,0.122358,0.413397,0.215225,0.0670562,0.0193903,0.0753161,0.0872573
-175.04,0.686056,0.661164,3,7,0,180.055,0.142347,0.423545,0.150267,0.141881,0.00122805,0.11624,0.0244918
-176.152,0.923253,0.661164,3,7,0,179.12,0.12072,0.398398,0.201826,0.0512038,0.0370948,0.108238,0.0825192
-175.157,1,0.661164,3,7,0,178.833,0.14753,0.381215,0.158608,0.175824,0.00143901,0.0962621,0.0391223
-174.755,0.917192,0.661164,3,7,0,179.245,0.16683,0.498363,0.148656,0.0757354,0.0115946,0.0692351,0.0295857
-172.817,1,0.661164,2,7,0,175.249,0.0971392,0.415258,0.163313,0.12079,0.00657357,0.141081,0.055845
-174.036,0.94829,0.661164,3,7,0,175.083,0.0921865,0.480078,0.134962,0.118079,0.0283174,0.0874936,0.0588834
-174.141,0.875581,0.661164,3,7,0,176.813,0.105636,0.404213,0.232571,0.101828,0.0116553,0.116345,0.027752
-175.046,0.912588,0.661164,3,7,0,177.903,0.146523,0.37918,0.135013,0.121975,0.00415784,0.092417,0.120734
-174.196,1,0.661164,2,3,0,175.559,0.156549,0.371724,0.134882,0.130592,0.00798464,0.0965218,0.101747
-173.906,0.900064,0.661164,3,7,0,177.868,0.110788,0.476012,0.202697,0.0720551,0.0052599,0.10345,0.029738
-173.311,0.92518,0.661164,3,7,0,177.657,0.148673,0.398515,0.129564,0.144053,0.00704626,0.126268,0.0458815
-176.042,0.793781,0.661164,2,7,0,178.536,0.141176,0.403138,0.170548,0.0562924,0.0066222,0.0939042,0.12832
-181.152,0.848499,0.661164,3,7,0,183.067,0.0854169,0.499575,0.138145,0.163093,3.55808e-05,0.0902382,0.0234967
-175.312,0.922261,0.661164,2,7,0,183.65,0.119219,0.337379,0.22326,0.112464,0.00135234,0.141312,0.0650136
-177.661,0.852753,0.661164,2,7,0,179.68,0.192837,0.349883,0.193291,0.132986,0.000518291,0.106168,0.0243168
-176.361,0.8246,0.661164,3,7,0,181.778,0.0822976,0.407083,0.204906,0.16742,0.0180774,0.0939185,0.0262973
-174.954,0.9649,0.661164,3,7,0,179.201,0.173649,0.461482,0.170374,0.061672,0.00445296,0.10227,0.0260991
-177.042,0.921884,0.661164,2,7,0,178.827,0.145789,0.47375,0.144469,0.0711911,0.0107778,0.140191,0.013832
-178.339,0.738289,0.661164,2,3,0,182.544,0.203348,0.444331,0.120645,0.0636872,0.0217144,0.127619,0.0186565
-178.462,0.845875,0.661164,3,7,0,182.281,0.0675183,0.428247,0.249753,0.0792641,0.00102048,0.0797881,0.0944091
-174.822,0.968734,0.661164,3,7,0,180.676,0.201343,0.442108,0.141175,0.0695487,0.0112059,0.103667,0.0309513
-174.328,0.9685,0.661164,2,3,0,176.543,0.151487,0.469437,0.166474,0.0677676,0.0041298,0.114941,0.0257634
-175.333,0.962447,0.661164,3,7,0,177.106,0.103197,0.399697,0.170509,0.107564,0.0292101,0.075282,0.11454
-176.563,0.968529,0.661164,3,7,0,179.182,0.0803952,0.4273,0.171106,0.146124,0.00222849,0.147588,0.0252585
-175.485,0.623316,0.661164,3,7,0,188.262,0.155937,0.528092,0.108062,0.0827386,0.0136337,0.0699442,0.041593
-174.83,1,0.661164,3,7,0,177.034,0.121529,0.333205,0.177515,0.149878,0.0116524,0.110074,0.0961478
-172.521,0.973266,0.661164,2,3,0,176.257,0.136075,0.396881,0.18344,0.136832,0.00975185,0.0989102,0.0381095
-172.83,0.926983,0.661164,3,7,0,173.943,0.116825,0.467589,0.143141,0.0776795,0.00859368,0.102312,0.0838593
-173.171,0.946299,0.661164,3,7,0,174.749,0.144982,0.388636,0.149155,0.156223,0.00562514,0.091567,0.0638119
-174.246,0.893156,0.661164,3,7,0,176.976,0.0881341,0.514278,0.163071,0.0787141,0.0134903,0.108339,0.0339737
-176.677,0.853921,0.661164,2,3,0,178.263,0.115625,0.557232,0.131214,0.085233,0.00966413,0.0820574,0.0189743
-176.815,0.970674,0.661164,3,7,0,179.765,0.131303,0.33854,0.19041,0.185714,0.0224185,0.103668,0.0279454
-173.129,0.774277,0.661164,2,3,0,179.109,0.112391,0.382827,0.191847,0.145031,0.00483845,0.117109,0.0459574
-173.474,0.951462,0.661164,3,7,0,175.74,0.149086,0.479293,0.14578,0.0702433,0.00282819,0.085281,0.067489
-176.652,0.807862,0.661164,2,7,0,177.699,0.113034,0.495905,0.159366,0.0527676,0.00614981,0.065663,0.107115
-175.139,0.976657,0.661164,3,7,0,180.329,0.114329,0.368802,0.207019,0.164713,0.0203728,0.092825,0.0319397
-175.495,0.955464,0.661164,3,7,0,178.937,0.0946918,0.395374,0.163562,0.0931483,0.00265317,0.192031,0.0585394
-173.259,0.954396,0.661164,2,7,0,177.607,0.121335,0.387858,0.206169,0.0932037,0.00243572,0.137408,0.0515924
-174.648,0.877701,0.661164,2,7,0,178.197,0.108374,0.46045,0.176261,0.0706793,0.000768491,0.137436,0.0460315
-173.593,0.891359,0.661164,3,7,0,177.188,0.150779,0.358019,0.164247,0.1466,0.0146867,0.0894475,0.0762214
