# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = posterior_model_3.data.R
# init = 2 (Default)
# random
#   seed = 3284628023
# output
#   file = posterior_model_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.66802
# Diagonal elements of inverse mass matrix:
# 0.0775894, 0.0419018, 0.117084, 0.16983, 1.47057, 0.281274
-172.894,0.996804,0.66802,3,7,0,173.506,0.117722,0.436344,0.132392,0.114544,0.0249474,0.121876,0.0521754
-172.186,0.999713,0.66802,3,7,0,173.543,0.146002,0.410777,0.176137,0.0968909,0.00433804,0.122956,0.042899
-173.875,0.91913,0.66802,2,3,0,174.404,0.136594,0.399854,0.174744,0.0775548,0.0387771,0.100413,0.0720637
-173.172,0.980331,0.66802,3,7,0,176.243,0.108025,0.43792,0.176348,0.122981,0.00111815,0.105676,0.0479317
-173.101,0.967623,0.66802,3,7,0,174.411,0.139937,0.460064,0.182118,0.0845053,0.00155995,0.0794385,0.0523776
-172.197,0.898763,0.66802,3,7,0,175.827,0.119903,0.439021,0.138203,0.116952,0.0153395,0.120019,0.0505626
-172.556,0.893286,0.66802,3,7,0,174.673,0.152534,0.385878,0.20801,0.0923981,0.00436873,0.101163,0.0556477
-172.417,0.852221,0.66802,3,7,0,175.605,0.115727,0.472616,0.129313,0.111841,0.00667281,0.100993,0.0628363
-176.819,0.696075,0.66802,2,3,0,177.764,0.142179,0.344001,0.220988,0.135446,0.00216013,0.133473,0.0217525
-173.143,1,0.66802,2,3,0,177.659,0.118209,0.45646,0.158168,0.0913749,0.00106309,0.122611,0.0521137
-173.589,0.828184,0.66802,3,7,0,176.757,0.158823,0.409024,0.16989,0.106338,0.0278273,0.0979429,0.0301542
-172.158,1,0.66802,3,7,0,174.39,0.143823,0.415551,0.174687,0.082564,0.00828122,0.0965425,0.0785509
-174.978,0.692252,0.66802,2,7,0,178.62,0.112692,0.362959,0.193002,0.0799301,0.0345631,0.138049,0.0788042
-172.854,1,0.66802,2,3,0,175.486,0.125774,0.377929,0.164599,0.106025,0.0219788,0.13013,0.0735649
-173.087,0.959257,0.66802,3,7,0,174.87,0.0888359,0.419383,0.208754,0.104064,0.00445394,0.111505,0.0630042
-178.02,0.808186,0.66802,2,3,0,178.509,0.0736505,0.391294,0.195954,0.146499,0.0480615,0.114203,0.0303377
-177.271,1,0.66802,3,7,0,181.66,0.222797,0.390273,0.153614,0.0746842,0.00047163,0.0804511,0.0777084
-174.167,1,0.66802,3,7,0,177.471,0.0737481,0.457127,0.173187,0.124401,0.0143598,0.117698,0.0394796
-175.566,0.787301,0.66802,3,7,0,178.509,0.20781,0.425992,0.144974,0.0643781,0.00164564,0.0869755,0.0682242
-172.294,0.823134,0.66802,2,3,0,178.75,0.128313,0.445999,0.151427,0.0993702,0.0024784,0.102059,0.0703543
-174.244,0.842984,0.66802,2,3,0,174.921,0.121837,0.46666,0.145276,0.102704,0.0243929,0.115667,0.0234642
-178.275,0.623845,0.66802,3,7,0,181.182,0.188907,0.489919,0.18031,0.0513188,0.00542632,0.0614352,0.0226849
-174.189,0.942039,0.66802,2,3,0,181.623,0.151202,0.427831,0.114443,0.106411,0.0124476,0.0869872,0.100679
-173.692,0.977957,0.66802,3,7,0,176.271,0.112532,0.525942,0.155697,0.0769812,0.0101038,0.0746411,0.0441036
-173.577,0.957662,0.66802,2,3,0,175.079,0.112186,0.511866,0.14503,0.104721,0.00253628,0.077004,0.0466564
-174.858,0.813097,0.66802,3,7,0,178.452,0.132115,0.361249,0.170942,0.161423,0.0237506,0.0736413,0.0768783
-178.895,0.718772,0.66802,3,7,0,182.044,0.131857,0.327171,0.163594,0.192977,0.0045047,0.157114,0.022782
-173.83,0.987657,0.66802,3,7,0,181.005,0.139563,0.456467,0.151487,0.106493,0.00390294,0.0592416,0.0828452
-173.904,0.981774,0.66802,3,7,0,175.379,0.122969,0.39573,0.203871,0.101348,0.0156343,0.134344,0.0261034
-174.591,0.903484,0.66802,3,7,0,177.086,0.0957257,0.470218,0.143287,0.113647,0.00565791,0.0701472,0.101317
-175.46,0.946107,0.66802,3,7,0,177.434,0.173919,0.401816,0.188918,0.0741467,0.00723849,0.13351,0.0204522
-176.414,0.857243,0.66802,3,7,0,179.914,0.0905148,0.467573,0.166104,0.0993806,0.00118831,0.0643817,0.110857
-174.518,1,0.66802,3,7,0,178.172,0.129161,0.448904,0.21898,0.0857811,0.000908556,0.0711621,0.0451037
-174.753,0.953737,0.66802,2,7,0,177.61,0.13167,0.447916,0.217346,0.107306,0.0033429,0.0532943,0.0391248
-173.172,1,0.66802,2,3,0,175.624,0.140396,0.415553,0.196208,0.124257,0.00808655,0.0610437,0.0544561
-173.431,0.94242,0.66802,2,3,0,174.958,0.126724,0.482454,0.176402,0.0912433,0.00772133,0.056961,0.0584939
-175.407,0.901669,0.66802,3,7,0,177.265,0.0727224,0.402934,0.167819,0.147118,0.00787468,0.15378,0.0477514
-175.303,0.970249,0.66802,3,7,0,178.198,0.203741,0.415053,0.171154,0.0622823,0.0111161,0.0663496,0.0703042
-174.26,0.973019,0.66802,3,7,0,177.724,0.0889701,0.424891,0.153625,0.158607,0.00663749,0.127855,0.039415
-173.221,1,0.66802,2,3,0,174.877,0.104571,0.411862,0.175171,0.14159,0.00366251,0.1229,0.0402435
-175.407,0.854729,0.66802,3,7,0,177.38,0.140193,0.504613,0.15696,0.0450811,0.0148468,0.0809409,0.0573643
-173.494,0.993041,0.66802,3,7,0,176.836,0.0932257,0.460187,0.184755,0.0685296,0.00815403,0.132003,0.0531457
-173.251,0.934499,0.66802,3,7,0,176.188,0.177267,0.37954,0.183966,0.122676,0.0106513,0.0747117,0.0511873
-171.558,0.734806,0.66802,2,5,0,176.962,0.117761,0.449861,0.163221,0.102883,0.00730972,0.101696,0.0572688
-171.91,0.92019,0.66802,3,7,0,172.933,0.145966,0.399832,0.176637,0.0988183,0.0071758,0.122942,0.0486286
-171.635,0.589913,0.66802,3,7,0,179.196,0.119367,0.422345,0.167575,0.118705,0.00746165,0.110169,0.0543772
-171.943,0.651282,0.66802,3,7,0,177.731,0.136487,0.391921,0.166567,0.107,0.0128565,0.111923,0.0732462
-175.153,0.6015,0.66802,2,3,0,179.27,0.187482,0.339667,0.217408,0.0759496,0.00522909,0.125931,0.0483323
-174.752,0.999672,0.66802,3,7,0,177.911,0.200311,0.336749,0.18842,0.0913867,0.00996968,0.0945713,0.0785925
-171.714,0.974067,0.66802,2,3,0,175.496,0.11425,0.442986,0.181878,0.0917875,0.00683935,0.105455,0.0568045
-173.679,0.754682,0.66802,2,7,0,176.179,0.140809,0.446692,0.18242,0.0755673,0.00199647,0.0739495,0.0785661
-172.358,0.959358,0.66802,3,7,0,175.883,0.133002,0.422683,0.186844,0.0978846,0.0226046,0.0962935,0.0406884
-173.358,0.843743,0.66802,3,7,0,176.639,0.111976,0.439334,0.138802,0.0924121,0.0038252,0.118906,0.0947446
-173.075,1,0.66802,3,7,0,174.545,0.166003,0.406886,0.196714,0.103581,0.00709009,0.0875758,0.0321506
-174.273,0.733275,0.66802,3,7,0,178.38,0.112856,0.497397,0.120664,0.0700768,0.0103447,0.103519,0.085144
-173.246,0.881894,0.66802,3,7,0,177.44,0.140538,0.415246,0.120618,0.142528,0.0130002,0.118941,0.0491297
-174.195,0.868853,0.66802,3,7,0,176.78,0.125139,0.530829,0.127079,0.0662285,0.00719789,0.0928133,0.0507138
-174.022,1,0.66802,3,7,0,175.515,0.132433,0.508499,0.117773,0.075064,0.0154603,0.10946,0.0413105
-173.343,0.992977,0.66802,3,7,0,175.798,0.14241,0.360651,0.218793,0.124991,0.00408356,0.0999523,0.0491191
-171.872,0.999246,0.66802,2,3,0,174.104,0.12177,0.443842,0.162793,0.0993766,0.019703,0.0948032,0.0577124
-173.687,0.906024,0.66802,2,7,0,174.231,0.187361,0.420656,0.144232,0.125028,0.00678178,0.0721499,0.0437904
-173.41,0.985929,0.66802,3,7,0,175.283,0.0952781,0.42155,0.19043,0.0755519,0.00861561,0.143043,0.0655314
-174.166,0.885618,0.66802,3,7,0,177.236,0.174516,0.412361,0.161129,0.14086,0.0083629,0.0624447,0.0403271
-173.688,0.948501,0.66802,3,7,0,176.902,0.183647,0.449954,0.143887,0.0955193,0.00533658,0.0654708,0.0561857
-175.659,0.883897,0.66802,2,3,0,176.642,0.178421,0.494848,0.143787,0.0782659,0.00840302,0.049325,0.0469502
-177.571,0.827028,0.66802,2,7,0,178.953,0.165508,0.488336,0.161143,0.0697447,0.0320262,0.0436059,0.039636
-172.126,1,0.66802,2,3,0,176.891,0.13455,0.431525,0.158327,0.105532,0.00286531,0.119258,0.0479426
-173.608,0.875706,0.66802,2,3,0,174.32,0.149988,0.416286,0.219139,0.0791411,0.00621628,0.0665418,0.0626881
-171.906,0.995964,0.66802,3,7,0,173.954,0.11494,0.43379,0.199042,0.0919765,0.00978051,0.10178,0.0486905
-173.219,0.856696,0.66802,2,3,0,174.357,0.172642,0.42045,0.13307,0.134656,0.00736407,0.0880627,0.0437544
-173.405,0.963342,0.66802,3,7,0,175.499,0.0940966,0.507449,0.149064,0.0943932,0.00361813,0.106764,0.0446147
-174.808,0.946799,0.66802,2,7,0,175.524,0.186369,0.316186,0.182766,0.125307,0.0131819,0.112821,0.0633698
-174.187,0.684476,0.66802,3,7,0,180.738,0.187762,0.436392,0.139709,0.0651786,0.016313,0.112812,0.041834
-174.199,0.92669,0.66802,3,7,0,176.246,0.091859,0.418165,0.191699,0.138854,0.00191553,0.0829929,0.0745149
-174.727,0.945022,0.66802,3,7,0,177.468,0.122922,0.323723,0.216797,0.124166,0.00634435,0.142751,0.0632971
-174.599,0.962104,0.66802,3,7,0,177.427,0.140484,0.523575,0.137199,0.0897633,0.00305755,0.0631624,0.0427588
-172.905,1,0.66802,2,7,0,175.35,0.118391,0.39961,0.179108,0.103004,0.00181126,0.130082,0.067994
-173.03,0.903029,0.66802,3,7,0,174.777,0.14737,0.446032,0.186342,0.0621422,0.00467606,0.101909,0.0515292
-174.274,0.94605,0.66802,3,7,0,175.441,0.122405,0.390652,0.210387,0.12907,0.00155728,0.114363,0.0315661
-172.634,0.986354,0.66802,3,7,0,175.222,0.156893,0.392802,0.146125,0.10504,0.00472025,0.116772,0.077648
-174.24,0.930836,0.66802,2,3,0,175.314,0.156165,0.479186,0.129528,0.0896317,0.02606,0.0870251,0.0324043
-174.036,0.893132,0.66802,3,7,0,179.144,0.139659,0.440394,0.126502,0.091652,0.00258106,0.0980615,0.101151
-173.757,0.985784,0.66802,3,7,0,175.991,0.0902914,0.429633,0.177338,0.110376,0.0323552,0.115637,0.0443688
-173.26,0.916763,0.66802,2,7,0,174.645,0.147443,0.419405,0.179864,0.0908769,0.000740837,0.102494,0.0591768
-173,0.709046,0.66802,3,7,0,178.756,0.115097,0.460415,0.149851,0.104955,0.0011531,0.105421,0.0631089
-171.976,0.887016,0.66802,3,7,0,176.422,0.149039,0.421084,0.177827,0.0988304,0.00346816,0.0936914,0.0560596
-174.094,0.839752,0.66802,2,3,0,174.387,0.179042,0.39437,0.204645,0.100091,0.00286601,0.066872,0.0521139
-173.686,0.932932,0.66802,3,7,0,177.321,0.131795,0.369637,0.143706,0.156236,0.00598882,0.118201,0.0744359
-179.032,0.694839,0.66802,2,3,0,180.815,0.100859,0.408032,0.290869,0.0587609,0.0228707,0.054409,0.0641995
-173.585,1,0.66802,2,7,0,179.929,0.142183,0.414762,0.165081,0.0623771,0.00939333,0.114227,0.0919763
-175.338,0.811674,0.66802,3,7,0,178.772,0.0948173,0.493991,0.161777,0.127389,0.00719464,0.0955893,0.0192422
-175.479,0.954373,0.66802,3,7,0,178.362,0.165048,0.344286,0.175048,0.0868326,0.0115687,0.0950738,0.122142
-175.604,0.835003,0.66802,3,7,0,179.917,0.114791,0.498299,0.158159,0.102273,0.000406602,0.0996981,0.0263732
-173.665,0.986006,0.66802,3,7,0,177.663,0.14944,0.372167,0.154979,0.0891002,0.00853337,0.124268,0.101513
-173.478,0.999361,0.66802,3,7,0,175.363,0.0997148,0.488782,0.141963,0.128972,0.00392545,0.0783963,0.0582465
-175.479,0.935435,0.66802,3,7,0,177.16,0.0960091,0.407005,0.18874,0.0910765,0.000365433,0.136382,0.0804223
-177.653,0.783187,0.66802,3,7,0,181.305,0.222767,0.400506,0.163328,0.0446684,0.0249081,0.0973692,0.0464535
-174.38,0.859823,0.66802,2,3,0,180.909,0.0888714,0.457167,0.123531,0.137094,0.00345453,0.116688,0.0731946
-173.224,0.965826,0.66802,2,7,0,176.27,0.121318,0.354645,0.221612,0.106834,0.0115562,0.115821,0.0682145
-177.916,0.742313,0.66802,3,7,0,178.83,0.102771,0.55538,0.183629,0.0568243,0.00109885,0.0667578,0.0335391
