# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = posterior_model_2.data.R
# init = 2 (Default)
# random
#   seed = 3284628013
# output
#   file = posterior_model_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.531561
# Diagonal elements of inverse mass matrix:
# 0.0785335, 0.0361188, 0.100487, 0.128786, 1.78769, 0.277189
-173.472,0.890855,0.531561,3,7,0,177.664,0.151688,0.487427,0.158729,0.0754952,0.0144734,0.0723281,0.0398591
-176.874,0.601625,0.531561,3,7,0,181.387,0.193985,0.420895,0.162103,0.0888441,0.0401183,0.0523492,0.0417058
-173.905,1,0.531561,2,3,0,178.493,0.155267,0.443963,0.189682,0.09392,0.00135681,0.0839484,0.031862
-175.188,0.926229,0.531561,3,7,0,177.217,0.157246,0.422069,0.0928122,0.126308,0.00446179,0.125532,0.0715704
-175.596,0.978441,0.531561,3,7,0,178.634,0.185629,0.378662,0.136445,0.0890178,0.0446824,0.0956726,0.0698919
-180.084,0.944168,0.531561,3,7,0,181.639,0.076415,0.533066,0.147497,0.15276,0.000322527,0.0576768,0.0322628
-177.644,0.991397,0.531561,3,7,0,183.116,0.092937,0.505962,0.170558,0.143411,0.00384384,0.0662061,0.0170823
-173.757,1,0.531561,3,7,0,179.321,0.117851,0.448937,0.1244,0.134792,0.00481241,0.0830241,0.0861842
-172.333,0.922848,0.531561,3,7,0,177.203,0.154778,0.409846,0.167225,0.0908873,0.00965089,0.127768,0.0398444
-174.057,0.906905,0.531561,3,7,0,174.95,0.13095,0.490897,0.17873,0.0643664,0.00166593,0.0834561,0.0499345
-172.646,0.980685,0.531561,3,7,0,176.073,0.12479,0.376388,0.199751,0.100809,0.0088472,0.138268,0.051146
-176.753,0.845283,0.531561,3,7,0,177.671,0.198287,0.388072,0.122823,0.0666513,0.0118153,0.0976484,0.114703
-173.832,1,0.531561,3,7,0,178.402,0.128597,0.496533,0.178091,0.0591924,0.00868231,0.091244,0.0376602
-177.206,0.841326,0.531561,3,7,0,179.262,0.0684573,0.472469,0.144058,0.128219,0.00379978,0.0719999,0.110997
-175.572,1,0.531561,3,7,0,178.896,0.170505,0.409936,0.202583,0.0840858,0.0143521,0.101375,0.0171638
