# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = posterior_model_1.data.R
# init = 2 (Default)
# random
#   seed = 3284628006
# output
#   file = posterior_model_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.781229
# Diagonal elements of inverse mass matrix:
# 0.0734713, 0.0448407, 0.0761122, 0.123883, 1.27116, 0.243155
-173.401,0.984017,0.781229,3,7,0,174.724,0.118523,0.415245,0.160947,0.161822,0.00374217,0.0980616,0.0416593
-173.048,0.7558,0.781229,3,7,0,177.832,0.134556,0.460682,0.171862,0.0612528,0.0156182,0.0920045,0.0640247
-174.118,0.403706,0.781229,2,3,0,177.019,0.141847,0.391119,0.139771,0.131854,0.00148209,0.145581,0.048346
-173.157,0.992546,0.781229,2,3,0,174.857,0.122767,0.424209,0.166035,0.0987154,0.00213764,0.14529,0.0408469
-173.204,0.940869,0.781229,3,7,0,174.844,0.0819417,0.45788,0.195256,0.103917,0.01441,0.0982654,0.0483301
-172.879,0.902561,0.781229,3,7,0,175.446,0.131685,0.478369,0.118481,0.109779,0.00559343,0.0934916,0.0626007
-173.711,0.971704,0.781229,3,15,0,174.463,0.117342,0.389117,0.245755,0.077228,0.0147151,0.102688,0.0531551
-176.07,0.851204,0.781229,2,7,0,177.649,0.155879,0.44184,0.192555,0.0378944,0.00520166,0.114406,0.0522244
-173.08,0.995784,0.781229,2,3,0,177.497,0.0886895,0.430879,0.160608,0.11278,0.0199019,0.128831,0.0583106
-172.388,0.844786,0.781229,2,3,0,175.489,0.115921,0.455563,0.141678,0.132501,0.00549501,0.0998797,0.0489626
-174.463,0.787501,0.781229,2,3,0,175.784,0.138677,0.429532,0.139755,0.172844,0.00747648,0.0707149,0.0410011
-174.201,0.903249,0.781229,3,7,0,177.71,0.154643,0.435271,0.202392,0.0794928,0.0144588,0.0902267,0.0235151
-175.405,0.831893,0.781229,3,11,0,178.573,0.151935,0.370412,0.250917,0.0978262,0.0163483,0.0861163,0.0264455
-172.798,0.979384,0.781229,2,3,0,176.718,0.13744,0.456317,0.129548,0.0959869,0.00379602,0.129645,0.0472673
-172.712,0.995479,0.781229,3,7,0,173.895,0.121857,0.404547,0.212425,0.095362,0.0183101,0.0817195,0.0657798
-172.425,0.942533,0.781229,2,3,0,173.612,0.12232,0.435291,0.150146,0.112058,0.00415456,0.13287,0.0431602
-177.399,0.752102,0.781229,2,3,0,177.67,0.201932,0.377709,0.13926,0.12207,0.00226817,0.137422,0.0193391
-175.119,0.99144,0.781229,3,7,0,179.923,0.126188,0.42283,0.180884,0.0549736,0.00234429,0.15979,0.0529891
-174.332,0.881021,0.781229,3,7,0,178.572,0.126123,0.451619,0.160072,0.153713,0.00909408,0.0565714,0.0428075
-174.78,0.920237,0.781229,3,7,0,177.629,0.120997,0.423325,0.161036,0.055334,0.00811162,0.166453,0.0647439
-175.401,0.963901,0.781229,3,7,0,177.689,0.140086,0.440593,0.159041,0.162983,0.00819875,0.0512378,0.0378605
-172.316,0.946996,0.781229,2,3,0,176.556,0.160453,0.427015,0.144343,0.0937295,0.0147016,0.115642,0.0441155
-172.795,0.923043,0.781229,2,7,0,173.835,0.0997453,0.433431,0.209565,0.118179,0.00995411,0.0829123,0.0462131
-175.191,0.6037,0.781229,2,3,0,178.542,0.104467,0.534163,0.13711,0.119611,0.00464939,0.0681715,0.0318279
-178.14,0.908859,0.781229,2,3,0,179.149,0.08919,0.542021,0.154852,0.126881,0.0143007,0.0459142,0.0268408
-177.639,0.995883,0.781229,3,7,0,179.989,0.178404,0.327837,0.165729,0.0710927,0.00146742,0.169598,0.0858708
-176.816,0.895493,0.781229,3,7,0,181.622,0.121328,0.52704,0.164517,0.0453025,0.0144032,0.0607458,0.0666644
-176.383,1,0.781229,3,7,0,178.075,0.136088,0.336371,0.151177,0.182788,0.00526779,0.149432,0.038877
-175.568,0.997566,0.781229,3,7,0,179.092,0.125441,0.520966,0.161666,0.0539088,0.0121174,0.0610339,0.0648675
-172.323,1,0.781229,2,3,0,176.241,0.153054,0.427792,0.168491,0.115465,0.0102099,0.0898957,0.0350924
-178.076,0.480983,0.781229,2,3,0,180.791,0.234747,0.359063,0.192951,0.0753825,0.0302871,0.0768224,0.0307478
