# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = posterior_model_4.data.R
# init = 2 (Default)
# random
#   seed = 3046248037
# output
#   file = posterior_model_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.585542
# Diagonal elements of inverse mass matrix:
# 0.0750537, 0.0422786, 0.0958763, 0.169925, 1.75352, 0.30078
-176.664,0.937517,0.585542,3,7,0,178.831,0.0986192,0.413257,0.188716,0.0884143,0.00127657,0.181784,0.0279327
-171.907,1,0.585542,3,7,0,176.662,0.126875,0.431778,0.175331,0.0883779,0.0195699,0.105086,0.0529822
-172.201,0.783817,0.585542,3,7,0,178.572,0.140277,0.450671,0.147116,0.11217,0.00307296,0.0986899,0.0480032
-172.782,0.962093,0.585542,3,7,0,173.526,0.139654,0.479252,0.141498,0.0899723,0.00235516,0.100387,0.0468812
-173.24,0.889921,0.585542,3,7,0,176.76,0.127896,0.358037,0.203819,0.11869,0.0234838,0.104557,0.0635171
-173.023,1,0.585542,3,7,0,174.666,0.096488,0.466051,0.183172,0.0964078,0.00421951,0.0802942,0.0733667
-173.198,0.94919,0.585542,3,7,0,175.39,0.175204,0.391365,0.139587,0.0911816,0.00561987,0.133869,0.0631747
-174.919,0.947973,0.585542,3,7,0,176.336,0.137727,0.39507,0.235164,0.126064,0.00421119,0.0739156,0.0278487
-172.214,1,0.585542,3,7,0,175.369,0.127299,0.410513,0.160021,0.104958,0.00351026,0.120111,0.0735864
-174.153,0.911102,0.585542,2,3,0,175.021,0.116678,0.405924,0.164104,0.106225,0.0339042,0.139594,0.0335708
-173.954,0.928321,0.585542,3,7,0,175.599,0.123293,0.403188,0.163401,0.124567,0.00106673,0.0925129,0.0919712
-173.331,0.933363,0.585542,3,7,0,176.909,0.137277,0.442126,0.178553,0.0847043,0.0217976,0.107654,0.0278874
-174.614,0.944589,0.585542,2,3,0,175.363,0.125356,0.44031,0.198455,0.0697273,0.024736,0.11582,0.0255948
-178.516,0.639437,0.585542,2,7,0,181.344,0.109748,0.433148,0.145635,0.0667349,0.0175899,0.206344,0.0208005
-176.19,1,0.585542,3,7,0,179.329,0.12395,0.414052,0.162543,0.0837235,0.0168576,0.17856,0.0203128
-173.743,0.988637,0.585542,2,7,0,177.286,0.159532,0.411611,0.160719,0.0661974,0.0153271,0.144176,0.0424375
-178.761,0.796737,0.585542,2,7,0,180.039,0.162724,0.35821,0.139585,0.0485512,0.0287596,0.15975,0.10242
-178.536,0.964319,0.585542,3,7,0,181.826,0.104746,0.504132,0.187828,0.134281,0.00225875,0.046753,0.0200011
-172.379,1,0.585542,2,3,0,179.044,0.11955,0.443893,0.200512,0.0818323,0.00700274,0.106949,0.0402611
-172.265,0.992954,0.585542,3,7,0,173.384,0.137309,0.415092,0.140149,0.127258,0.0140095,0.0964107,0.0697713
