# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = bernoulli_1.data.R
# init = 2 (Default)
# random
#   seed = 2961180733
# output
#   file = bernoulli_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.946703
# Diagonal elements of inverse mass matrix:
# 0.402401
-7.6836,0.958345,0.946703,2,3,0,7.95533,0.293227
-7.68001,0.98628,0.946703,2,7,0,7.78517,0.373407
-7.68001,0.905428,0.946703,1,3,0,8.05818,0.373407
-8.48313,0.841958,0.946703,1,3,0,8.5347,0.519517
-8.53149,0.995677,0.946703,2,3,0,8.74569,0.524842
-7.90706,1,0.946703,2,7,0,8.3935,0.239497
-7.87984,1,0.946703,1,1,0,7.94572,0.244038
-8.11848,0.892259,0.946703,1,3,0,8.83753,0.472912
-7.74203,1,0.946703,2,3,0,8.03105,0.273477
-7.86888,0.966303,0.946703,2,3,0,8.06808,0.24595
-7.78976,1,0.946703,1,1,0,7.86828,0.261633
-7.71098,1,0.946703,1,1,0,7.77596,0.282894
-7.6463,1,0.946703,2,3,0,7.69616,0.350827
-7.76128,0.964104,0.946703,1,3,0,7.84575,0.2684
-7.86687,0.943037,0.946703,1,3,0,8.22648,0.428733
-7.70074,1,0.946703,1,1,0,7.82411,0.38251
-7.75319,0.815864,0.946703,2,3,0,8.91665,0.270477
-9.07052,0.574426,0.946703,2,3,0,11.3313,0.140027
-7.87232,0.903578,0.946703,1,3,0,10.302,0.429892
-7.65832,1,0.946703,2,3,0,7.83151,0.30641
-8.9891,0.822134,0.946703,2,3,0,9.12133,0.144356
-10.0858,0.877138,0.946703,1,1,0,10.0942,0.0989612
-8.173,0.959473,0.946703,1,3,0,9.9487,0.205137
-8.84384,0.896148,0.946703,1,1,0,8.84521,0.152634
-8.95143,0.985298,0.946703,1,1,0,9.1268,0.146431
-8.35781,1,0.946703,1,1,0,8.87673,0.187432
-9.13076,0.963212,0.946703,2,3,0,9.13435,0.136953
-9.46204,0.960304,0.946703,1,1,0,9.60634,0.121737
-9.29147,1,0.946703,2,3,0,9.6521,0.129239
-9.44984,0.981325,0.946703,1,1,0,9.66418,0.122252
-8.63879,1,0.946703,1,1,0,9.35327,0.165756
-7.64988,1,0.946703,2,3,0,8.44312,0.354368
-7.79398,0.966441,0.946703,2,3,0,7.89622,0.411697
-7.9952,0.948111,0.946703,1,1,0,8.00646,0.453224
-7.98841,1,0.946703,2,7,0,7.9885,0.227362
-7.64858,0.985737,0.946703,1,3,0,8.10723,0.353153
-7.65899,0.993604,0.946703,1,3,0,7.69213,0.30597
-8.10063,0.911634,0.946703,1,3,0,8.17199,0.213168
-10.0171,0.89245,0.946703,2,3,0,10.0277,0.64365
-7.85617,0.903872,0.946703,1,3,0,11.0388,0.248235
-7.83193,0.953789,0.946703,2,3,0,8.33187,0.420958
-7.66909,0.980172,0.946703,1,3,0,7.95744,0.300104
-7.6446,0.925126,0.946703,2,3,0,8.1837,0.318024
-7.93192,0.956155,0.946703,2,3,0,7.99828,0.23558
-8.53196,0.9477,0.946703,2,7,0,8.5383,0.524893
-9.96132,0.895217,0.946703,2,3,0,10.01,0.640185
-8.27799,1,0.946703,2,7,0,9.62766,0.194655
-8.42293,0.696834,0.946703,2,3,0,12.7084,0.512661
-9.30116,0.790587,0.946703,1,1,0,9.37656,0.594496
-8.51065,1,0.946703,1,1,0,9.19336,0.522566
-7.68748,0.957579,0.946703,1,3,0,8.77987,0.291593
-8.81449,0.873763,0.946703,2,3,0,8.9511,0.553312
-7.98644,1,0.946703,1,1,0,8.59767,0.451705
