# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = posterior_model_1.data.R
# init = 2 (Default)
# random
#   seed = 3046248008
# output
#   file = posterior_model_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.622755
# Diagonal elements of inverse mass matrix:
# 0.0889959, 0.0381177, 0.0872971, 0.15015, 1.37576, 0.285812
-177.308,1,0.622755,3,7,0,182.212,0.0847367,0.37682,0.274028,0.074266,0.00386628,0.0922584,0.0940243
-175.079,1,0.622755,2,3,0,178.317,0.0828526,0.418836,0.251109,0.0740479,0.00609329,0.0987348,0.0683267
-172.376,0.9809,0.622755,2,3,0,176.29,0.111558,0.41889,0.156919,0.113345,0.0121305,0.100577,0.0865807
-172.376,0.707935,0.622755,2,7,0,178.948,0.111558,0.41889,0.156919,0.113345,0.0121305,0.100577,0.0865807
-174.764,0.884102,0.622755,2,7,0,175.731,0.076534,0.41463,0.230863,0.0930472,0.0232887,0.105211,0.0564272
-173.515,1,0.622755,3,7,0,176.691,0.156109,0.388359,0.205728,0.111364,0.00336891,0.0690792,0.0659922
-173.584,0.849964,0.622755,3,7,0,177.672,0.122768,0.477933,0.162748,0.0661409,0.0121173,0.125013,0.0332794
-174.154,0.903161,0.622755,3,7,0,177.717,0.0879499,0.372935,0.212257,0.131836,0.0104567,0.104299,0.0802656
-174.226,0.998207,0.622755,3,7,0,175.265,0.0823371,0.383772,0.215851,0.131493,0.00542138,0.116575,0.0645505
-178.502,0.752829,0.622755,2,3,0,180.574,0.0739241,0.351959,0.26099,0.173643,0.00382436,0.0871244,0.0485351
-177.485,1,0.622755,3,7,0,179.883,0.19654,0.481682,0.100057,0.0493155,0.0117846,0.104167,0.0564536
-174.295,0.833894,0.622755,2,7,0,182.156,0.170116,0.469433,0.128291,0.072684,0.00187902,0.0905893,0.0670077
-173.083,0.978031,0.622755,3,7,0,175.953,0.10694,0.393434,0.190861,0.104598,0.00942447,0.150902,0.04384
-172.357,0.966051,0.622755,3,7,0,174.858,0.146118,0.417908,0.18122,0.112951,0.00327316,0.0792442,0.0592859
-175.624,0.830116,0.622755,2,7,0,176.269,0.070748,0.464837,0.134688,0.104747,0.00329893,0.136384,0.0852975
-173.713,0.931394,0.622755,3,7,0,180.1,0.168234,0.388208,0.164493,0.118546,0.00113174,0.0897644,0.0696222
-173.95,0.957352,0.622755,3,7,0,175.64,0.088832,0.453932,0.192926,0.0991039,0.0185502,0.116836,0.0298202
-173.556,0.848688,0.622755,3,7,0,178.76,0.151616,0.349999,0.199688,0.104302,0.00296766,0.129155,0.0622725
-172.705,0.964305,0.622755,3,7,0,175.266,0.167446,0.427801,0.171202,0.100988,0.0140557,0.0820426,0.036465
-174.594,0.828051,0.622755,2,7,0,176.882,0.128751,0.422127,0.154661,0.0554435,0.0181337,0.153525,0.0673588
-178.086,0.619186,0.622755,3,7,0,189.416,0.159215,0.471098,0.151266,0.145577,0.00252361,0.0380349,0.0322846
-173.312,1,0.622755,3,7,0,179.74,0.125581,0.351756,0.189944,0.131729,0.0144643,0.133467,0.0530583
-173.622,0.948146,0.622755,3,7,0,175.676,0.13595,0.514023,0.140256,0.0742657,0.006079,0.0736338,0.0557923
-172.191,0.873736,0.622755,2,3,0,176.408,0.148974,0.449183,0.180184,0.0817441,0.00752283,0.0891096,0.0432835
-173.635,0.92299,0.622755,2,7,0,174.202,0.134902,0.415344,0.133053,0.120672,0.00230282,0.100036,0.0936906
-174.175,0.875281,0.622755,3,7,0,178.048,0.127052,0.480317,0.135237,0.117641,0.0193098,0.0960855,0.0243586
-174.117,0.996125,0.622755,3,7,0,176.081,0.0949923,0.374925,0.181791,0.133567,0.00492731,0.116229,0.0935688
-174.094,0.986493,0.622755,3,7,0,176.392,0.107591,0.49856,0.167011,0.0955252,0.0175564,0.0887714,0.0249847
-174.279,0.985656,0.622755,3,7,0,176.513,0.0865889,0.420388,0.152922,0.151962,0.00275852,0.112604,0.0727769
-174.58,1,0.622755,3,7,0,176.292,0.085848,0.443906,0.176251,0.0915294,0.000941273,0.138657,0.0628675
-174.985,0.926169,0.622755,3,7,0,176.954,0.134701,0.41547,0.163485,0.0773243,0.000315458,0.140313,0.0683909
-172.126,0.798274,0.622755,3,7,0,180.12,0.12594,0.444011,0.17295,0.119966,0.00389277,0.0841993,0.0490409
-174.385,0.810052,0.622755,2,3,0,175.598,0.170913,0.367783,0.168474,0.0980098,0.0112456,0.0780724,0.105502
-173.439,0.980967,0.622755,3,7,0,176.629,0.136972,0.376416,0.177635,0.0882105,0.00465876,0.161006,0.0551016
-176.027,0.901441,0.622755,3,7,0,177.512,0.10293,0.403999,0.203754,0.157506,0.00038824,0.093056,0.0383661
-173.197,0.994186,0.622755,3,7,0,177.47,0.161858,0.412333,0.146872,0.103345,0.00482512,0.13623,0.0345366
-175.133,0.907241,0.622755,3,7,0,177.668,0.11426,0.471592,0.20828,0.0829985,0.000701435,0.063951,0.0582167
-173.781,0.870676,0.622755,3,7,0,180.709,0.18451,0.400295,0.129601,0.128515,0.00675014,0.112127,0.0382022
-177.679,0.83733,0.622755,3,7,0,179.347,0.0967585,0.42786,0.194515,0.0407251,0.0171284,0.171339,0.0516742
-177.688,0.996573,0.622755,3,7,0,179.473,0.0945661,0.443516,0.16803,0.04806,0.014483,0.19176,0.039585
-172.893,0.969804,0.622755,2,3,0,179.152,0.113405,0.470992,0.159998,0.0984026,0.00176016,0.113167,0.0422757
-172.782,0.967724,0.622755,3,7,0,174.325,0.154863,0.387486,0.204416,0.091295,0.0138287,0.0806854,0.067425
-173.444,0.946197,0.622755,3,7,0,175.012,0.175464,0.347719,0.19467,0.116641,0.0112634,0.0918358,0.0624076
-173.685,0.913639,0.622755,3,7,0,175.991,0.0981165,0.515287,0.149491,0.0708331,0.00764052,0.0926646,0.0659677
-173.537,0.751109,0.622755,3,7,0,180.367,0.15135,0.351517,0.184515,0.145112,0.010322,0.114956,0.0422286
-173.607,0.992635,0.622755,3,7,0,174.93,0.103092,0.507945,0.161021,0.0795426,0.00738932,0.0715666,0.0694436
-172.349,0.978098,0.622755,3,7,0,175.265,0.129073,0.398204,0.18476,0.122552,0.00470869,0.119091,0.0416107
-174.643,0.858063,0.622755,2,3,0,175.529,0.111785,0.394096,0.246234,0.0775201,0.00970355,0.0762646,0.0843961
-173.583,0.907647,0.622755,3,7,0,179.793,0.146322,0.411125,0.130405,0.142099,0.00238073,0.120905,0.0467636
-173.419,0.915928,0.622755,3,7,0,177.838,0.131454,0.411632,0.170042,0.100996,0.0293469,0.0748791,0.0816501
-174.508,0.787126,0.622755,3,7,0,179.969,0.1425,0.396667,0.23156,0.105238,0.00503956,0.0558831,0.0631124
-176.405,0.908315,0.622755,3,7,0,179.019,0.119908,0.54763,0.125652,0.0965856,0.0106339,0.0802426,0.0193479
-173.678,1,0.622755,3,7,0,177.401,0.154568,0.421198,0.180225,0.0741142,0.00605559,0.0729045,0.0909359
-173.687,0.98049,0.622755,3,7,0,176.05,0.108897,0.444223,0.152208,0.130312,0.00444714,0.130857,0.0290548
-174.243,0.930212,0.622755,3,7,0,176.712,0.152212,0.423935,0.180502,0.0773177,0.00140263,0.0762369,0.0883939
-173.714,0.996607,0.622755,3,7,0,175.706,0.140103,0.40641,0.154118,0.103188,0.000691751,0.135057,0.0604325
-172.551,0.96845,0.622755,3,7,0,174.872,0.130181,0.462629,0.157359,0.111635,0.00238839,0.0796646,0.0561421
-172.486,0.973383,0.622755,3,7,0,173.782,0.143146,0.447701,0.157507,0.118246,0.0143559,0.0827182,0.036326
-173.514,0.881865,0.622755,2,3,0,173.876,0.137795,0.445887,0.168817,0.110665,0.0277533,0.0758218,0.0332609
-173.362,1,0.622755,3,7,0,174.195,0.108577,0.425915,0.181579,0.0914366,0.00105789,0.123063,0.0683711
-174.953,0.934147,0.622755,2,7,0,175.681,0.102995,0.431569,0.209594,0.126587,0.000508855,0.0910622,0.0376841
-176.54,0.970314,0.622755,3,7,0,178.527,0.16242,0.390264,0.11053,0.0879293,0.0488971,0.127329,0.0726302
-178.258,0.920043,0.622755,3,7,0,182.138,0.11035,0.479174,0.244152,0.0780846,0.000663149,0.0475928,0.0399845
-180.156,0.975098,0.622755,3,7,0,181.886,0.100155,0.469775,0.273504,0.0769426,0.000603848,0.0538311,0.0251886
-173.509,0.99439,0.622755,2,7,0,180.708,0.140948,0.482173,0.164542,0.0811496,0.00194987,0.09557,0.0336676
-175.63,0.793367,0.622755,3,7,0,178.851,0.204418,0.455033,0.118993,0.0822283,0.00229064,0.103323,0.0337147
-172.432,1,0.622755,3,7,0,176.138,0.104086,0.466699,0.186885,0.0916317,0.0127354,0.0976735,0.0402894
-173.47,0.788916,0.622755,3,7,0,176.287,0.169958,0.360187,0.193798,0.11868,0.00316118,0.0904147,0.0638015
-175.092,0.929366,0.622755,3,7,0,177.026,0.120578,0.512188,0.153179,0.0549726,0.0260851,0.0817604,0.0512368
-173.438,1,0.622755,3,7,0,176.746,0.138807,0.381417,0.190305,0.12193,0.00188184,0.126261,0.0393984
-173.866,0.980667,0.622755,3,7,0,175.743,0.13207,0.444713,0.163734,0.0837046,0.000481362,0.103482,0.0718155
-171.729,0.966328,0.622755,3,7,0,175.309,0.129667,0.419028,0.168087,0.124034,0.0086362,0.104323,0.046224
-173.041,0.887084,0.622755,2,3,0,173.563,0.122437,0.463584,0.189476,0.100108,0.0020705,0.0733457,0.048979
-175.524,0.882536,0.622755,3,7,0,177.201,0.0921403,0.423105,0.258987,0.0653822,0.0175529,0.0851763,0.0576555
-173.607,1,0.622755,3,7,0,177.319,0.116754,0.479785,0.184221,0.0717713,0.010666,0.108222,0.02858
-174.087,0.961106,0.622755,3,7,0,175.829,0.117724,0.396901,0.143875,0.124887,0.00669587,0.0955522,0.114365
-173.865,0.990454,0.622755,3,7,0,175.668,0.175292,0.467434,0.155177,0.0874187,0.00549966,0.0794939,0.0296853
-175.379,0.916706,0.622755,2,3,0,176.341,0.164322,0.484817,0.164509,0.0903857,0.0118695,0.0616869,0.0224104
-172.449,0.938217,0.622755,2,3,0,176.782,0.118209,0.422116,0.144127,0.141748,0.00565866,0.107907,0.0602333
-173.903,0.895226,0.622755,2,7,0,175.509,0.095228,0.469162,0.118368,0.141283,0.00850373,0.102315,0.0651406
-174.785,0.934372,0.622755,3,7,0,177.14,0.173728,0.394588,0.209608,0.0699014,0.000988311,0.102655,0.0485308
-173.735,0.978125,0.622755,3,7,0,177.602,0.0992389,0.386313,0.150997,0.142686,0.0153375,0.14189,0.0635376
-175.983,0.76449,0.622755,3,7,0,179.488,0.212627,0.42238,0.0984603,0.0805084,0.0097056,0.107594,0.0687251
-174.638,0.990153,0.622755,2,7,0,177.596,0.0989238,0.425724,0.230408,0.11694,0.00115548,0.0780276,0.0488222
-175.343,0.959858,0.622755,3,7,0,177.523,0.0766267,0.440332,0.205657,0.14431,0.00211661,0.0767353,0.0542217
-174.82,0.998926,0.622755,3,7,0,177.123,0.164361,0.400235,0.153928,0.058427,0.0291278,0.131518,0.0624043
-177.399,0.898045,0.622755,2,3,0,178.994,0.15805,0.410137,0.146639,0.0441329,0.0244782,0.171331,0.0452324
-173.329,0.966477,0.622755,2,7,0,179.252,0.0829934,0.480487,0.157041,0.0905449,0.0112488,0.125063,0.0526225
-172.927,0.954925,0.622755,3,7,0,175.116,0.166321,0.386259,0.180801,0.116673,0.00276451,0.0861563,0.0610259
-172.541,0.981619,0.622755,3,7,0,174.248,0.108552,0.425774,0.149369,0.113783,0.0211915,0.127614,0.0537153
-179.825,0.522408,0.622755,3,7,0,180.599,0.144894,0.390873,0.249671,0.054105,4.1442e-05,0.116832,0.043584
-175.69,0.859218,0.622755,3,7,0,184.744,0.0999839,0.476318,0.102472,0.166738,0.0128532,0.0899145,0.0517207
-172.65,1,0.622755,3,7,0,176.26,0.104083,0.462659,0.161827,0.124351,0.00779254,0.0751594,0.0641275
-173.119,0.901354,0.622755,3,7,0,175.116,0.160961,0.393238,0.171548,0.0833861,0.00565497,0.142917,0.0422948
-172.053,0.988165,0.622755,2,7,0,173.969,0.133996,0.465702,0.159045,0.10418,0.00464058,0.0878497,0.044586
-172.03,0.973905,0.622755,3,7,0,173.012,0.125626,0.400756,0.174073,0.0982517,0.00582,0.126108,0.069365
-175.729,0.857804,0.622755,2,7,0,176.372,0.104578,0.452104,0.118346,0.0974281,0.00123752,0.172769,0.0535377
-174.424,0.992762,0.622755,3,7,0,178.32,0.116903,0.387189,0.164413,0.138677,0.00963959,0.154534,0.0286448
-174.857,0.95962,0.622755,3,7,0,177.872,0.145447,0.481642,0.162704,0.0677027,0.0042074,0.0577157,0.0805823
-173.754,0.992161,0.622755,3,7,0,177.277,0.110184,0.362804,0.210185,0.0980226,0.0243531,0.121098,0.0733536
-174.177,0.728634,0.622755,3,7,0,179.623,0.121369,0.498379,0.13695,0.110197,0.00080475,0.0888722,0.0434277
-175.79,0.88748,0.622755,3,7,0,178.482,0.173035,0.343264,0.158957,0.155222,0.0188496,0.068571,0.0821019
-175.473,0.739068,0.622755,3,7,0,181.679,0.0791555,0.410742,0.227835,0.0709959,0.00550399,0.147547,0.0582199
-174.942,0.984829,0.622755,3,7,0,178.539,0.15246,0.345731,0.188158,0.120944,0.000874917,0.106365,0.0854664
-174.351,0.947413,0.622755,3,7,0,176.73,0.139126,0.508021,0.143325,0.0676698,0.0153082,0.0972283,0.0293205
-175.136,0.824762,0.622755,2,7,0,178.816,0.119894,0.470427,0.146018,0.0941008,0.00682376,0.143806,0.0189307
-172.593,0.986449,0.622755,3,7,0,176.747,0.134013,0.372847,0.182156,0.110824,0.00852888,0.105298,0.0863329
-174.678,0.833212,0.622755,2,3,0,176.7,0.121439,0.366881,0.175767,0.101892,0.0471326,0.11721,0.0696787
-174.332,0.995729,0.622755,3,7,0,177.699,0.14749,0.385205,0.238163,0.101083,0.00508433,0.0948321,0.0281417
-173.254,0.988258,0.622755,2,3,0,175.225,0.166663,0.384912,0.184707,0.120722,0.0054231,0.10547,0.0321035
-173.024,0.977735,0.622755,3,7,0,175.132,0.0884941,0.48165,0.160318,0.0834624,0.00852473,0.111007,0.0665433
-173.142,0.862871,0.622755,3,7,0,178.094,0.103563,0.45846,0.205393,0.108806,0.00735516,0.0818097,0.0346126
-177.3,0.87102,0.622755,3,7,0,178.499,0.215163,0.470983,0.114075,0.0641523,0.00195458,0.0724901,0.0611827
-176.065,0.982236,0.622755,3,7,0,180.048,0.180877,0.461676,0.163608,0.0538031,0.000708966,0.0949974,0.0443289
-175.374,0.966077,0.622755,3,7,0,178.319,0.0724225,0.44495,0.16707,0.143129,0.00281149,0.0855096,0.0841072
-173.346,0.994647,0.622755,3,7,0,177.133,0.115167,0.46832,0.113612,0.106485,0.0108367,0.133472,0.0521062
-173.151,0.895033,0.622755,3,7,0,176.839,0.172541,0.367693,0.198628,0.0860058,0.00619457,0.100572,0.0683656
-172.39,1,0.622755,3,7,0,173.94,0.102639,0.468128,0.18837,0.0918943,0.00486934,0.0922384,0.0518612
-175.853,0.849036,0.622755,3,7,0,176.369,0.172497,0.416306,0.135745,0.107484,0.000113683,0.108574,0.05928
-172.078,0.916964,0.622755,2,7,0,176.484,0.120055,0.453463,0.150451,0.0869045,0.00602033,0.112008,0.071099
-173.207,0.882745,0.622755,3,7,0,176.018,0.141086,0.453369,0.154961,0.1353,0.00617019,0.0745335,0.0345808
-173.936,0.888398,0.622755,3,7,0,176.232,0.102019,0.440179,0.205108,0.0871865,0.0038047,0.073192,0.0885109
-173.327,0.962449,0.622755,3,7,0,176.585,0.123926,0.459095,0.141329,0.133514,0.0133437,0.0998232,0.0289694
-173.21,0.981152,0.622755,3,7,0,175.335,0.0816032,0.44986,0.179379,0.126666,0.00693858,0.0931397,0.0624134
-173.355,0.982098,0.622755,3,7,0,174.94,0.193647,0.388671,0.136775,0.102693,0.0147842,0.103091,0.060338
-172.547,0.8757,0.622755,3,7,0,176.449,0.136595,0.371226,0.172555,0.118254,0.0200333,0.120109,0.0612269
-174.588,0.590956,0.622755,2,7,0,177.609,0.15982,0.470403,0.126131,0.085971,0.000650865,0.0925689,0.0644544
-178.123,0.867784,0.622755,3,7,0,179.813,0.141766,0.541969,0.0836083,0.10888,0.00165329,0.0901888,0.031935
-178.116,0.957185,0.622755,2,3,0,181.375,0.101324,0.523321,0.0814105,0.120634,0.00116765,0.122384,0.0497592
-174.621,1,0.622755,3,7,0,179.711,0.151994,0.454633,0.138479,0.119949,0.000505526,0.0739098,0.06053
-173.056,0.892281,0.622755,3,7,0,177.593,0.10844,0.444008,0.196706,0.0950463,0.026381,0.086522,0.042896
-172.192,0.825682,0.622755,3,7,0,174.618,0.128518,0.481725,0.158712,0.0816504,0.0113905,0.0888357,0.0491688
-172.061,0.996374,0.622755,3,7,0,172.826,0.135601,0.392124,0.157406,0.11309,0.00845586,0.12954,0.0637824
-172.739,0.889142,0.622755,3,7,0,174.162,0.0902479,0.471078,0.18436,0.0869111,0.0122092,0.096991,0.0582026
-173.093,0.95053,0.622755,3,7,0,174.476,0.130453,0.409534,0.229997,0.0875522,0.00392999,0.0962451,0.0422888
-173.8,0.925583,0.622755,3,7,0,176.199,0.123659,0.430376,0.234493,0.0674706,0.011783,0.0779789,0.0542395
-177.863,0.782994,0.622755,3,7,0,179.459,0.0764119,0.479942,0.140048,0.176049,0.004914,0.101389,0.0212465
-171.889,1,0.622755,2,3,0,178.122,0.138348,0.43037,0.154562,0.0965821,0.0174608,0.11484,0.0478374
-174.322,0.842307,0.622755,2,7,0,175.079,0.0854572,0.424837,0.181686,0.125269,0.0169319,0.134776,0.0310423
-174.744,0.683832,0.622755,2,7,0,181.217,0.108691,0.441288,0.155459,0.173995,0.00312541,0.0815337,0.0359081
-174.719,0.976733,0.622755,3,7,0,176.846,0.132815,0.3727,0.211821,0.0618045,0.0159932,0.151978,0.0528873
-176.032,0.91135,0.622755,3,7,0,178.417,0.0820171,0.559076,0.147071,0.0925,0.0139641,0.0656687,0.0397027
-173.614,0.99605,0.622755,3,7,0,177.969,0.107763,0.446361,0.162462,0.0736171,0.0032291,0.113708,0.0928597
-176.848,0.792904,0.622755,2,3,0,178.166,0.0770658,0.407314,0.190078,0.081534,0.0252279,0.0938204,0.124959
-173.468,0.999072,0.622755,3,7,0,178.716,0.119826,0.436943,0.226189,0.0699149,0.00541724,0.101347,0.0403636
-174.148,0.838274,0.622755,3,7,0,178.994,0.13341,0.436169,0.104345,0.143269,0.0128666,0.096997,0.0729432
-176.416,0.894299,0.622755,2,7,0,178.129,0.0922409,0.506218,0.197883,0.0634865,0.00712024,0.112286,0.0207667
-176.508,0.992029,0.622755,2,7,0,177.35,0.0869439,0.493216,0.195245,0.0655803,0.00794922,0.129949,0.0211168
-176.926,0.980139,0.622755,3,7,0,181.26,0.0723196,0.511727,0.133075,0.0992988,0.00534542,0.0720046,0.10623
-177.405,0.987982,0.622755,3,7,0,181.406,0.121215,0.376307,0.251436,0.108368,0.000926427,0.121695,0.0200526
-174.516,0.999889,0.622755,3,7,0,179.135,0.193564,0.46277,0.110647,0.0903142,0.00828831,0.0923512,0.0420656
-174.634,0.979862,0.622755,3,7,0,176.898,0.0921252,0.376828,0.200636,0.121191,0.0162438,0.154722,0.0382544
-173.649,0.997344,0.622755,3,7,0,176.591,0.185552,0.375712,0.143808,0.12471,0.006284,0.121798,0.0421379
-174.265,0.965939,0.622755,3,7,0,176.695,0.0876695,0.493532,0.184163,0.0766628,0.00293614,0.0829266,0.0721107
-176.343,0.886079,0.622755,3,7,0,179.578,0.0998507,0.44513,0.20069,0.142882,0.000921363,0.0519775,0.0585487
-177.064,0.984158,0.622755,2,3,0,177.485,0.0941417,0.449728,0.210563,0.142635,0.000705623,0.0516522,0.0505746
-175.904,0.879577,0.622755,3,7,0,182.875,0.183412,0.418328,0.143514,0.0471001,0.0227624,0.120255,0.0646277
-172.503,0.992916,0.622755,3,7,0,177.55,0.096373,0.437861,0.189648,0.105485,0.00361481,0.110647,0.0563709
-172.318,0.993303,0.622755,3,7,0,173.335,0.172625,0.42846,0.148602,0.0910583,0.0122576,0.0910395,0.0559578
-173.762,0.907081,0.622755,3,7,0,174.547,0.138016,0.470898,0.157691,0.0897348,0.00358291,0.0609613,0.0791157
-174.215,0.838365,0.622755,3,7,0,178.798,0.139886,0.440733,0.133909,0.095243,0.0151211,0.148533,0.0265759
-173.683,0.874665,0.622755,2,7,0,177.503,0.15812,0.462396,0.170226,0.0615959,0.00845265,0.105465,0.0337444
