# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = bernoulli_2.data.R
# init = 2 (Default)
# random
#   seed = 2961180733
# output
#   file = bernoulli_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.946715
# Diagonal elements of inverse mass matrix:
# 0.41561
-7.84283,0.950888,0.946715,1,1,0,8.04715,0.250716
-8.13583,0.94285,0.946715,1,1,0,8.13823,0.209168
-8.13583,0.585423,0.946715,1,3,0,11.7345,0.209168
-8.04658,1,0.946715,1,1,0,8.18104,0.2197
-7.81159,1,0.946715,1,1,0,8.00151,0.256917
-7.79777,1,0.946715,1,1,0,7.84105,0.259862
-8.75716,0.759443,0.946715,1,3,0,9.53098,0.547871
-7.87389,1,0.946715,1,1,0,8.51214,0.430223
-8.26588,0.89718,0.946715,1,1,0,8.28019,0.493384
-7.90788,1,0.946715,1,1,0,8.1898,0.437154
-8.14077,0.979185,0.946715,2,3,0,8.17594,0.476191
-8.14077,0.717035,0.946715,1,1,0,9.0192,0.476191
-9.91034,0.613043,0.946715,1,1,0,9.91093,0.636973
-8.24708,1,0.946715,1,1,0,9.46049,0.490917
-7.99378,0.854951,0.946715,1,3,0,9.21195,0.226623
-7.99378,0.932146,0.946715,1,1,0,8.31075,0.226623
-7.94877,1,0.946715,1,1,0,8.03978,0.233036
-7.64255,1,0.946715,2,3,0,7.89786,0.346155
-7.64255,0.740579,0.946715,1,3,0,8.75926,0.346155
-7.80559,0.976693,0.946715,2,3,0,7.81744,0.258178
-7.71577,1,0.946715,2,3,0,7.78913,0.281317
-7.95203,0.745811,0.946715,2,3,0,9.64689,0.232553
-7.84888,1,0.946715,2,3,0,7.95433,0.249581
-8.22234,0.928406,0.946715,1,1,0,8.22256,0.200056
-7.64442,0.981714,0.946715,1,3,0,8.35335,0.348654
-7.72187,0.98074,0.946715,2,3,0,7.7806,0.390372
-7.69498,0.980669,0.946715,1,3,0,7.86551,0.288614
-8.75292,0.79935,0.946715,1,3,0,8.94473,0.158223
-7.69422,0.999116,0.946715,2,3,0,8.73035,0.288905
-7.66308,0.991543,0.946715,1,3,0,7.76416,0.364141
-9.19487,0.592644,0.946715,1,3,0,10.1978,0.133794
-9.30906,0.985561,0.946715,1,1,0,9.53568,0.128434
-10.4284,0.882818,0.946715,1,1,0,10.4522,0.0888284
-9.16556,1,0.946715,1,1,0,10.29,0.135224
-8.9023,1,0.946715,1,1,0,9.27402,0.149211
-9.7371,0.897847,0.946715,1,1,0,9.76989,0.110892
-9.86051,0.979051,0.946715,2,7,0,9.86366,0.633788
-9.74867,1,0.946715,2,7,0,9.76807,0.110465
-11.396,0.855715,0.946715,1,1,0,11.3981,0.0664361
-10.4255,1,0.946715,2,3,0,11.4229,0.0889093
-9.8178,1,0.946715,1,1,0,10.5118,0.107965
-8.69214,1,0.946715,1,1,0,9.66656,0.162158
-8.43374,1,0.946715,1,1,0,8.73452,0.181054
-7.91254,0.897362,0.946715,2,7,0,9.32592,0.438071
-7.6506,1,0.946715,1,3,0,7.86167,0.355008
-7.65219,0.994756,0.946715,2,3,0,7.69028,0.310816
-7.6418,0.930986,0.946715,2,3,0,8.0983,0.321804
-7.64375,0.998484,0.946715,1,3,0,7.65332,0.347803
-11.4461,0.404954,0.946715,1,3,0,12.1091,0.717742
-8.88274,1,0.946715,2,3,0,10.8139,0.559603
-8.02546,1,0.946715,1,1,0,8.6571,0.458331
-7.8563,1,0.946715,1,1,0,8.00911,0.426445
-8.26737,0.892575,0.946715,1,1,0,8.27764,0.493577
-9.537,0.896659,0.946715,2,3,0,9.56389,0.611922
-11.216,0.65484,0.946715,1,1,0,11.4402,0.707391
-9.52823,1,0.946715,1,1,0,11.0115,0.611298
-8.1092,1,0.946715,1,1,0,9.13843,0.471524
