# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = bernoulli_4.data.R
# init = 2 (Default)
# random
#   seed = 2961180739
# output
#   file = bernoulli_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.784018
# Diagonal elements of inverse mass matrix:
# 0.458885
-7.96493,1,0.784018,1,1,0,8.2617,0.447896
-8.57956,0.939482,0.784018,3,7,0,8.59952,0.529986
-8.70657,0.9959,0.784018,2,7,0,8.7227,0.161209
-9.33675,0.935002,0.784018,1,1,0,9.34595,0.127183
-8.93732,1,0.784018,2,3,0,9.35345,0.147221
-8.31291,0.998429,0.784018,3,7,0,8.89367,0.191423
-8.00786,1,0.784018,1,1,0,8.27229,0.224718
-8.49272,0.853088,0.784018,1,3,0,10.279,0.520585
-8.53795,0.997758,0.784018,2,7,0,8.56522,0.172963
-8.41541,0.976018,0.784018,2,3,0,9.11038,0.182553
-7.97016,0.870534,0.784018,1,3,0,10.1083,0.448833
-8.22499,0.947795,0.784018,1,1,0,8.24433,0.487971
-7.83578,0.879956,0.784018,1,3,0,9.27786,0.252065
-7.65304,0.996263,0.784018,1,3,0,7.84312,0.310157
-8.03556,0.908676,0.784018,1,3,0,8.35521,0.459993
-7.81008,1,0.784018,1,1,0,7.99088,0.415747
-7.67895,0.999918,0.784018,2,7,0,7.79463,0.295285
-7.83103,0.980041,0.784018,2,3,0,7.88794,0.252991
-7.69826,0.962255,0.784018,2,7,0,8.17397,0.381508
-7.68451,0.994279,0.784018,2,3,0,7.76448,0.375542
-7.79411,0.944909,0.784018,1,3,0,8.09357,0.260665
-7.65626,0.999507,0.784018,2,3,0,7.80084,0.3078
-7.65626,0.608782,0.784018,1,3,0,10.7826,0.3078
-7.75021,0.968531,0.784018,1,3,0,7.90028,0.399531
-7.6389,0.922572,0.784018,2,3,0,8.38744,0.328144
-8.54429,0.907687,0.784018,2,3,0,8.60193,0.526225
-7.67007,0.994522,0.784018,3,7,0,8.56591,0.368253
-7.6689,1,0.784018,1,1,0,7.67546,0.367599
-7.67718,0.983808,0.784018,1,3,0,7.79736,0.296103
-7.74347,0.967816,0.784018,1,3,0,7.95001,0.397465
-7.71026,0.990526,0.784018,2,3,0,7.85002,0.386188
-7.63832,0.935671,0.784018,2,3,0,8.23085,0.335656
-7.77653,0.983712,0.784018,2,3,0,7.77881,0.264681
-7.6415,1,0.784018,2,3,0,7.75164,0.344492
-8.24982,0.887357,0.784018,1,3,0,8.45611,0.491279
-7.93329,0.84263,0.784018,1,3,0,9.62721,0.23537
-7.65986,0.975929,0.784018,1,3,0,8.22207,0.362056
-7.64441,0.999192,0.784018,2,3,0,7.66838,0.348642
-7.75079,0.986175,0.784018,2,3,0,7.77533,0.399705
-8.2385,0.939861,0.784018,2,7,0,8.2796,0.198454
-7.66254,0.960094,0.784018,1,3,0,8.75626,0.363796
-7.77583,0.956388,0.784018,1,3,0,7.98815,0.264847
-7.65378,0.986379,0.784018,1,3,0,7.92923,0.35765
-7.65216,0.999999,0.784018,2,7,0,7.65359,0.310843
-7.64267,0.997144,0.784018,1,3,0,7.6769,0.346325
-7.80929,0.979446,0.784018,2,3,0,7.83729,0.415553
-7.80004,1,0.784018,2,3,0,7.83718,0.413245
-7.71147,1,0.784018,1,1,0,7.78316,0.386639
-7.6582,0.98529,0.784018,1,3,0,7.82821,0.306488
-7.66571,0.99097,0.784018,1,3,0,7.7448,0.365746
-7.66213,1,0.784018,1,1,0,7.66865,0.36354
-7.71355,0.972954,0.784018,1,3,0,7.86007,0.282044
-7.64643,0.990753,0.784018,1,3,0,7.79521,0.350967
-7.66017,0.992489,0.784018,1,3,0,7.70566,0.305219
-7.65117,1,0.784018,1,1,0,7.65909,0.311641
-7.68454,0.986397,0.784018,2,7,0,7.76463,0.375558
-7.91584,0.906374,0.784018,1,3,0,8.34761,0.23809
-8.19357,0.959796,0.784018,1,1,0,8.19403,0.202983
-7.67458,1,0.784018,2,3,0,8.15873,0.297339
-7.65472,0.991391,0.784018,1,3,0,7.75278,0.358378
-9.0383,0.842261,0.784018,2,7,0,9.04239,0.141715
-8.80492,1,0.784018,1,1,0,9.09845,0.154984
-9.13213,0.988627,0.784018,2,3,0,9.19418,0.136884
-9.09934,1,0.784018,1,1,0,9.30866,0.138543
