# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = posterior_model_3.data.R
# init = 2 (Default)
# random
#   seed = 3046248023
# output
#   file = posterior_model_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.687378
# Diagonal elements of inverse mass matrix:
# 0.0763098, 0.0405677, 0.0962015, 0.159151, 1.78808, 0.330863
-174.272,0.85804,0.687378,3,7,0,177.533,0.171959,0.353608,0.210373,0.0920029,0.00431256,0.08525,0.0824943
-174.041,0.805623,0.687378,3,7,0,178.765,0.13217,0.446042,0.12731,0.158209,0.00283004,0.0816567,0.0517819
-172.103,0.710535,0.687378,2,3,0,178.851,0.138222,0.391809,0.159262,0.124298,0.00621726,0.11059,0.0696015
-173.256,0.841822,0.687378,2,3,0,174.802,0.179555,0.40107,0.200263,0.0902118,0.00719434,0.0800258,0.0416803
-174.944,0.762609,0.687378,3,7,0,178.702,0.155753,0.515423,0.107909,0.0669048,0.00892055,0.0900881,0.0550012
-175.875,0.82975,0.687378,3,7,0,179.077,0.109661,0.338125,0.238243,0.121271,0.00148791,0.10456,0.0866515
-175.581,0.941539,0.687378,2,7,0,178.886,0.095477,0.387521,0.272746,0.117493,0.00787303,0.0719064,0.046983
-175.011,1,0.687378,2,3,0,175.995,0.0926693,0.397774,0.258582,0.121433,0.0100569,0.0792996,0.0401852
-174.806,0.983891,0.687378,3,7,0,176.671,0.134411,0.480105,0.103335,0.0785827,0.00318321,0.126852,0.0735303
-177.212,0.873999,0.687378,3,7,0,179.625,0.174808,0.41388,0.085753,0.0902495,0.00421653,0.135314,0.0957789
-174.613,0.980474,0.687378,3,7,0,179.465,0.119622,0.481718,0.206616,0.0839784,0.00171715,0.061859,0.04449
-178.238,0.784535,0.687378,3,7,0,180.983,0.188893,0.461014,0.0925591,0.100086,0.000731241,0.070152,0.0865647
-175.679,0.937301,0.687378,3,7,0,181.068,0.0939458,0.423426,0.254131,0.0880325,0.0105883,0.106028,0.0238486
-176.285,0.928576,0.687378,3,7,0,179.965,0.182363,0.383815,0.118632,0.183392,0.00699853,0.0792819,0.0455173
-180.003,0.444134,0.687378,3,7,0,188.828,0.0675334,0.405835,0.234579,0.0642267,0.000254823,0.151503,0.076068
-176.235,0.602483,0.687378,3,7,0,182.529,0.140375,0.362396,0.199489,0.124323,0.000101111,0.119744,0.0535724
-175.865,0.842653,0.687378,2,7,0,177.711,0.119369,0.403378,0.170508,0.122422,0.000116995,0.140103,0.0441026
-175.759,0.675391,0.687378,3,7,0,179.27,0.11451,0.33683,0.21897,0.144587,0.00251935,0.14298,0.0396028
-173.911,0.990431,0.687378,2,7,0,177.034,0.130926,0.353173,0.241255,0.120914,0.00542059,0.091124,0.0571868
-173.117,0.895408,0.687378,3,7,0,177.167,0.125802,0.463679,0.121682,0.0874885,0.0178973,0.12955,0.0539012
-172.913,0.880431,0.687378,3,7,0,174.527,0.116294,0.489838,0.126983,0.0927455,0.00450713,0.116346,0.0532869
-177.232,0.721825,0.687378,2,3,0,178.775,0.0729056,0.429432,0.230571,0.15794,0.0106086,0.0643539,0.0341884
-174.585,0.780889,0.687378,2,3,0,179.148,0.0898756,0.430091,0.227964,0.125056,0.00216084,0.0831306,0.0417219
-176.732,0.420284,0.687378,3,7,0,181.639,0.0884382,0.494617,0.123457,0.0607541,0.00823624,0.173635,0.0508631
-176.592,1,0.687378,3,7,0,180.999,0.186133,0.38646,0.1768,0.150971,0.00436726,0.0462818,0.048987
-175.14,0.999364,0.687378,3,7,0,179.565,0.128301,0.457801,0.120189,0.153931,0.00156816,0.105676,0.0325335
-173.818,0.987993,0.687378,3,7,0,176.887,0.13203,0.402512,0.189558,0.072648,0.00145604,0.12277,0.0790268
-177.313,0.877947,0.687378,2,3,0,178.128,0.191789,0.388152,0.145786,0.0702074,0.000172886,0.139168,0.0647239
-177.223,0.607965,0.687378,2,7,0,178.894,0.206375,0.410605,0.134405,0.0615608,0.00040594,0.124311,0.0623374
-174.878,0.978942,0.687378,2,7,0,179.752,0.181734,0.427128,0.139613,0.116909,0.00223447,0.107687,0.0246944
-171.784,1,0.687378,2,3,0,174.888,0.127228,0.435157,0.149278,0.0960898,0.00935912,0.111307,0.0715807
-179.016,0.49366,0.687378,2,3,0,179.815,0.117213,0.365743,0.225691,0.176106,0.00039266,0.0925278,0.0223273
-182.074,0.832271,0.687378,3,7,0,184.428,0.15702,0.510191,0.104674,0.0398157,0.000196135,0.0874632,0.100639
