# stan_version_major = 2
# stan_version_minor = 17
# stan_version_patch = 1
# model = posterior_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = posterior_model_2.data.R
# init = 2 (Default)
# random
#   seed = 3046248015
# output
#   file = posterior_model_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,p.1,p.2,p.3,p.4,p.5,p.6,p.7
# Adaptation terminated
# Step size = 0.725901
# Diagonal elements of inverse mass matrix:
# 0.0846344, 0.0457001, 0.0737141, 0.116739, 1.67423, 0.221664
-173.202,0.985516,0.725901,3,7,0,175.293,0.126446,0.493488,0.173273,0.0633717,0.0090894,0.0866585,0.0476731
-176.903,0.744717,0.725901,2,7,0,179.392,0.12566,0.486356,0.132236,0.160371,0.00719244,0.06957,0.0186152
-174.365,0.927825,0.725901,2,7,0,178.873,0.0972837,0.497807,0.177597,0.105643,0.00136252,0.0860585,0.0342472
-173.278,0.819728,0.725901,3,7,0,178.247,0.115359,0.477431,0.180623,0.0727726,0.00186755,0.0925433,0.0594037
-173.079,0.654379,0.725901,3,7,0,176.116,0.105597,0.494652,0.179848,0.0828949,0.0107571,0.0906432,0.035607
-173.365,0.95453,0.725901,3,7,0,175.027,0.17822,0.373144,0.142127,0.117616,0.0137878,0.0979968,0.0771093
-172.357,1,0.725901,3,7,0,173.751,0.11021,0.475712,0.167179,0.100776,0.0109592,0.0989221,0.0362421
-176.697,0.637747,0.725901,2,3,0,178.686,0.126635,0.437044,0.0924944,0.163215,0.00677666,0.139615,0.0342201
-176.363,0.720669,0.725901,3,7,0,185.487,0.135538,0.416438,0.264277,0.0819851,0.00181581,0.058905,0.0410405
-176.622,0.968716,0.725901,3,7,0,180.426,0.128163,0.456725,0.0852007,0.093116,0.00490472,0.165096,0.0667939
-175.189,0.931556,0.725901,2,7,0,178.984,0.0997028,0.406961,0.237334,0.120055,0.000684346,0.0902078,0.0450557
